uid,username,banned
753,GGF001,0
756,samsavell,0
757,LoneStrider,0
758,fr0ggeh,1
759,pooman,0
770,Brazoliange,1
774,rocket,0
776,doka,0
788,sbacon,1
792,cubesquared,0
794,slyanh,1
812,dundes,0
817,lomdr,1
821,Shade23,0
824,Karl,0
826,gate,1
840,sushiidx,0
849,zdemigoth,0
851,azuki,0
857,kimcicle,0
861,Random,1
864,snyper256,0
871,LOKIOLR,0
874,Iceman_B,0
875,loyx,0
895,bloop,1
914,butler,0
916,Shiroro77,1
923,djHI,0
927,orochibman,0
931,p12etty,0
933,JillNya,0
934,fone,0
944,sync,0
948,AHO,0
959,Realathelete,1
960,byron2dx,1
967,renaissance,0
970,terrencegf,0
973,Ryogo,1
976,ben,0
977,bt3,0
1011,TheExcel,0
1027,Droyd,0
1028,Kairu,0
1032,nekura,0
1038,Spiritsnare__,1
1042,Alis,0
1046,Gigaclon,1
1058,djIhcoro,0
1060,lee5387,1
1067,OnePhraseBlues,1
1084,Ichibo,0
1086,zrehmz,0
1087,Ouranos,1
1093,maizie,0
1105,Jouva,0
1118,CuoReNeRo,1
1125,Synnite,0
1126,axa64,0
1181,bobsam,0
1193,GPan,0
1202,oujirou,0
1204,Asa,1
1210,kusenagi,0
1219,Imasock,0
1220,dragonfire,0
1222,dlon9,0
1223,xm0nkey,0
1224,xsoft,0
1235,syntaxeraera,1
1242,davidbrit2,1
1245,JohnDesire,0
1249,doomstrider,1
1283,PmCimini,1
1289,BMW,1
1314,nahbien,1
1321,XenonTech,0
1334,KittySN,0
1354,Moogy,0
1375,topher,1
1377,delitachan,1
1392,gardiase,1
1399,flash,1
1402,DarcLionXVI,1
1425,iamBGS,0
1431,Eggman,0
1432,experimilk,0
1459,Tachyon319,0
1543,xaioi,0
1548,G2,0
1552,Sairu,0
1566,Revolution,1
1568,moribund112,0
1596,UnknownGamer,1
1602,djlonc,0
1604,Mordecai,1
1608,lumi,0
1631,fractien,1
1632,Netto,0
1637,vang,0
1642,EX,1
1673,kaizoku,1
1679,stc,0
1685,kappaiidx,0
1700,Sardius,1
1702,enojy,0
1704,RK,1
1716,flyers241,0
1725,seikei,1
1726,Rize,1
1740,LOCFchaos,0
1741,xodlike,1
1744,Jeffito123,1
1748,tensai,0
1770,stuf,0
1772,miya2004,0
1776,PPK,1
1780,STsung,0
1782,maybelline,1
1805,Wompa164,1
1832,Darkness1234,0
1834,littlesushi,0
1841,crono,0
1847,opiv22,1
1864,kwaken,0
1869,squarEpusher,1
1901,poopypants,0
1904,silentblank,0
1933,Catastrophe,0
1935,t1ckt0ck,1
1956,GOGOsu,0
1971,Bert,0
1992,ryederek,0
2004,xbskid,0
2015,Ebisu,0
2035,RiskyChris,0
2038,nicobest,1
2051,Korudo,0
2060,ArcticWolves,0
2078,thamaht,1
2097,chaddly,0
2099,jay01119,0
2115,Antipika,0
2135,Tatsuha,0
2151,SRMoogle,0
2186,gcw23,0
2212,adlaiff6,0
2222,Malice913150,0
2223,Izam2k2,0
2274,onreload,0
2304,ShiftDrifter,0
2356,Mantic,0
2375,newer911,0
2383,darkamdusias,0
2393,beastly125,0
2418,zomgah,1
2419,Alpenjodler,1
2425,mrpeanut,0
2445,musicboy,0
2472,RahanAkero,1
2486,scarydrummer,0
2512,Gamepro17616,0
2548,ecul,1
2578,biabia,0
2579,Toph,0
2582,ayuh,1
2589,kinoko,1
2680,inuitakumi,0
2711,Sempai,0
2716,Zeyl,0
2818,CptMath,0
2822,briff1es,0
2863,koogooshii,1
2903,Shining,0
2911,PapaK,1
2917,PinkRanger,0
2930,DrNick,0
2944,LittleWolfLS,0
2969,Sahri,1
3047,Morphal,0
3060,hou2dab,0
3063,rpmarie,0
3106,Triad,0
3158,Hellacious,0
3183,Pumble,0
3325,Skyline,0
3342,LoneWolf,1
3391,Soyo,0
3401,BigDaddy,0
3456,Raidengettoo,1
3473,PatrickDDRX,0
3481,BMcD,0
3531,lysergic,1
3534,Tyma,0
3555,josee,1
3577,Gice,0
3590,AcidicFrog,0
3595,Ultsubmarine,1
3646,arnoct,1
3671,Aphnacm,0
3715,heckich,1
3719,Ryebread,0
3781,BBH,0
3790,hl2auz,0
3871,kyleb70,1
3873,Songy,0
3912,PajonK,1
3926,Fujwara906,0
3928,aytm749,0
3934,Shud,1
3945,Enmity,1
3973,IIDXfan,0
3982,KlashedKi,0
3999,ranatalus,0
4019,waka,1
4030,eldiablo3005,0
4041,Eva03,0
4116,Sama,0
4145,daijoubussy,0
4159,sabre2k2,0
4188,Zarcom,0
4207,onestar,0
4226,otis,1
4228,yagsimit69,0
4249,Solefald,0
4258,fanthc81,1
4259,yyr,0
4280,KirbyAnimelo,1
4300,Lapsus,0
4318,xenogenesis,0
4333,babiels,1
4335,chickensnack,0
4362,iidxtek,0
4379,Break,0
4398,i5lee8bit,0
4410,asdfghjk,1
4439,exodus803,1
4464,qwer,1
4487,schnoo2,0
4488,ninshikou,1
4490,ohsnaps,1
4498,hoshina2,1
4499,pakopakopako,0
4504,lowergalaxy,1
4508,ddrtime,0
4517,doctorfedora,0
4518,Reeve,1
4520,h4xor,1
4527,Moogle,0
4529,mouseish,1
4531,mopinks,1
4546,Titiln,1
4549,DRUNKMONKY,1
4568,tora,0
4581,djbazooka,1
4585,Vaq,1
4586,axemrangers,0
4589,Mysse,1
4590,achan,0
4593,Ledah,0
4600,Naota,1
4604,dohdoh,0
4605,Wobbuffet,0
4624,MonsterBlocks,0
4632,aeyvee,0
4635,Rusty,1
4655,djkoto,0
4659,MAS,0
4660,LANman247,0
4690,sensui,0
4694,BiFFaR,0
4696,icex2,0
4703,Spaceboy,0
4710,kc1313,1
4714,ktenshi,0
4722,Plaguefox,0
4723,dirksade,0
4728,mcseagul,1
4730,tobiasbp,0
4746,Maticus,1
4748,fist,0
4750,Vajuras,0
4754,yoyoma,1
4756,Littleman2,1
4763,Losbonos,1
4764,Spazzbite,0
4801,lamuness,0
4817,Yugge,0
4820,tatsu,1
4822,Rezzish,1
4825,burningheat,0
4842,KIRBYSIM,1
4847,suffah,0
4851,Happyman,0
4872,phuzion,0
4882,menaia2,1
4907,Fbisumaru,0
4910,supermin,0
4912,nickwolfwood,0
4947,pokecapn,0
4962,KungFuJesus,1
4967,MaxXimus,0
4971,CrashCoarse,1
4974,w2pwr,0
5005,Magick,1
5039,AmpDivorax,0
5053,RFour,1
5057,Tweak,0
5061,KyoYuy,0
5064,TriggerHappy,0
5065,houou10,0
5067,pakachu,0
5070,SPIN3LESS,1
5078,chocobokeita,1
5080,deathtao,0
5082,omegasox,1
5083,thewheel,0
5098,Raoh,0
5107,arno,1
5109,Murasaki,0
5110,mDaWg,1
5114,djqaz,0
5135,Raf,0
5145,raziel36,1
5147,boltstorm,1
5154,Soddie,1
5163,chango,1
5182,GaijinAC,0
5186,Silvamord,1
5195,Subs,1
5197,Flazh,0
5200,MechaGai,0
5206,Spectere,0
5253,xiansucrose,0
5256,fs,0
5269,supersteveex,0
5294,xopher,0
5296,kholdfuzion,0
5349,adn0r,0
5360,gogo2,0
5364,HappyCow,0
5369,cognizant2,0
5373,Char,0
5393,nitsuki,0
5400,pyroko,0
5402,Locker,0
5405,DjLeeLee,1
5406,tanjo,0
5417,Raziel,1
5419,BoX,1
5424,LBius,0
5425,Deppenking,1
5434,Rodent,0
5443,SiSenor,0
5447,verschlag,0
5452,oraco-old,1
5472,kruton6,0
5473,suckit,0
5478,Grey,0
5479,WTSnacks,0
5486,maelwys,0
5489,bmJa,0
5505,bkaii,1
5516,shiratori,1
5519,Javitud,0
5521,naisho,0
5526,martin1532,1
5528,bombers,0
5538,dunpeal666,0
5540,Sharl,1
5545,dj2mro,0
5553,MrBlasty,0
5563,vyhd,0
5565,djage,1
5572,jbean3535,0
5573,zaxour,0
5577,fork,1
5597,DJYuz,1
5647,siveus,1
5654,TheomeJew,1
5666,ddrSuprNova,0
5670,Hulex,0
5671,mkat,0
5682,prin2,0
5697,Laggy,0
5710,Taren,0
5723,Dmoz,0
5755,drkhwk2,0
5757,Zerocide,0
5761,Shodan,0
5762,skippy911,1
5769,WopOut,1
5770,MiltyKiss,0
5782,Poroksy,1
5786,Touhou,0
5790,RealizE,0
5811,uLTraCarL,0
5814,spoonsman,1
5815,dumpy,0
5825,Smbu,0
5826,yaak,1
5842,herbie,1
5863,SeedyV,0
5869,KMel,1
5891,BigBoct,0
5898,Syncpowah,1
5910,Zacktzon,1
5930,TeddehG,1
5931,Exim,1
5933,pyrona,0
5942,iruleharder,0
5943,Toptier,1
5963,djpopn,0
5974,Ghwrhjaa,1
5980,hbb,1
5986,Eek,0
5987,Milk,0
5989,spacejesus,0
5991,akumanoinori,0
5996,Rofleux,1
5998,ningyouwhat,1
5999,Maxx,0
6007,Yaow,0
6008,cb0ne,1
6010,Smilebit,0
6022,MAD3400,1
6024,rmz,0
6029,Shimono,0
6035,evilchicken,0
6038,currynoodle,1
6042,kan,1
6067,DJTAKAX321,0
6070,squirrel,0
6074,Junky,0
6078,petercuello,1
6081,Toshin,0
6083,tripmacddy,0
6089,teajay123321,0
6096,Misocainea,1
6112,Kumubou,0
6113,Moo,1
6118,Naore,1
6141,Shinobiwan,1
6143,servo,0
6146,trac,0
6149,Afroken,0
6157,Tiger,0
6167,Rakar,0
6179,djdaoiidx,1
6187,KKinsky,1
6207,one2,0
6218,dekk,0
6221,Kotat,0
6229,ultimakei,1
6265,BuckFemani,0
6275,ohnoitschris,0
6288,rezenuk,1
6293,shingoukiii,1
6294,IIDXBoss,1
6334,Caboose,0
6349,Xagrand,1
6350,Ordog163,0
6358,T-4,1
6363,ruboteca,0
6383,Jizzon,1
6389,ShadowmanX,0
6393,Valkyrie115,1
6399,Yoh,0
6405,Zander358,0
6414,Arcanyxis,1
6415,JMaq,0
6429,RageKO,1
6433,linus,0
6440,ps2gamer4000,0
6445,Jon,0
6452,phorrest,0
6455,Zombieplum,0
6460,GPolice,0
6465,ultrabot,0
6468,Noval,0
6475,magiarmour,0
6488,Tau,0
6497,drevil2005,0
6500,yanathin,0
6506,miyo,0
6508,tangerine,0
6525,bustychaps,0
6527,pinkpanties,0
6528,omgawobot,0
6530,djwhmy,1
6533,flesy,0
6534,Malice,0
6546,Bkid,0
6569,tomokun,0
6575,enix2093,0
6589,cbox,1
6590,killy,1
6616,Caffy,1
6620,syncognition,0
6622,OdderOtter,0
6647,riyulover1,1
6648,Zhorah,1
6655,Kakumei,1
6657,clauz,0
6661,Jejja,1
6718,Benny1,1
6722,mastapsi,0
6735,Novasonic,1
6739,ferbran,0
6740,dl,0
6747,analyst2,1
6755,traumapunk,1
6759,paranoia,0
6774,IndieMax,0
6776,dballin4,0
6783,WareZ,1
6797,Archer,0
6798,skauert,1
6810,hvzero,0
6827,robling,0
6835,MiniFoo,0
6836,Firehead,1
6843,vividblue,0
6851,edgar131,0
6855,argonxe,0
6865,aaarthur,1
6868,NoLimitz,0
6872,keith,0
6875,Asuran,0
6876,lorentxxo,1
6877,Transmeta,1
6878,BaBydevilz,1
6881,Spookye,0
6887,MixMastaPJ,0
6889,shnerp,0
6908,Satoko,1
6919,supers,1
6923,popndrop,0
6925,sinep,1
6929,Rogue,1
6950,asphalter,0
6981,noiz,0
6991,viddy,0
7008,Kirtaner,0
7010,braf,0
7062,william,1
7076,kfish,0
7078,xYukix,1
7084,yingah,1
7085,Robotix,1
7086,Rivis,1
7088,rossbt,0
7092,flamepanther,0
7095,inferno358,1
7102,inferis,0
7121,cynic,0
7128,yuki,0
7130,DandyJ,1
7175,celestial,1
7177,yxerq,1
7184,NekoTsukimi,1
7185,freakout,0
7187,Katrak,1
7195,hellspawnuk,1
7220,animesuperj,0
7223,PirateNinja,0
7227,ditzy,1
7229,stepmaniac,0
7247,sabishii,0
7250,brom981,1
7253,mister,0
7257,LSBEurobeat,0
7276,Kei,0
7277,Yond,0
7282,djgilmour,1
7296,reader,1
7297,Reddu,1
7302,chardish,1
7326,fufuuf,0
7331,chasechasechase,0
7340,Jimmy25,1
7341,paule,0
7370,afwefwe,0
7406,parasyte,0
7434,hpallstarks,0
7453,Yoshi00,1
7460,AndrzejEllis,1
7464,Sanjuro,0
7526,caspian,0
7539,seishinbyou,0
7562,RojoKy113,0
7577,hatao,1
7588,endlessrain,1
7604,gergc,0
7615,meep,1
7622,TNP,0
7624,Shoma,0
7655,Gluv,0
7658,prince_david,0
7664,destorted,1
7680,maikoherajin,1
7685,runestar,1
7691,ghostrevival,0
7700,Chesskid1,0
7702,AOI,1
7708,KCETsniper,0
7709,empathe,1
7722,baramekia,0
7745,HatPerson,0
7754,bemanifan22,1
7764,templeton,0
7784,MilesAM,0
7789,tehfogo,0
7792,Rhythmatic,0
7794,smurphy,0
7800,djdamien,0
7808,ratna,0
7826,QuadkilleR,1
7842,JShreiber,0
7845,AkumaX,0
7847,danrod963,0
7855,Maha,0
7880,Cedge,0
7888,follingguy,1
7889,Misc,0
7891,NinjaDux,0
7896,Ftahdr,0
7909,Pindlekin,1
7917,Sykosonik,0
7919,Einhander,1
7938,ddrfreakbr,1
7955,Bluemystik,1
7956,DIAZ3MB,0
7960,giyotin,1
7961,Faker13,0
7964,Sinbound,0
7965,spork,0
7981,NESCartFan,0
7984,zamber,1
7991,asus650,0
7996,Mikamura,0
7999,Clessy,1
8002,ctrlv,1
8026,demon,0
8028,Doody,0
8047,ilovebemaniso,1
8075,Twisted,1
8076,PeinerWenis,0
8084,roothorick,0
8096,Zep,0
8110,dustwalker14,1
8126,fauzeh,0
8128,Ameto,0
8129,cr4zy,1
8145,Mathshoe,0
8149,Xlr8r,0
8159,tdude,0
8165,yoohoo15,0
8186,scottula,0
8189,tada,1
8196,infamouspat,0
8197,JackRabbit,1
8199,Shinraikan,1
8215,nadanetotz,0
8234,taisho,0
8237,devilzukin69,0
8251,OltzUU,0
8252,_TAKA,0
8256,onisama,0
8268,tricycle,0
8317,ahnada,0
8325,HUmarMatt,1
8328,tendo,1
8331,darighaz,1
8332,Sarahoney102,1
8337,Reikon,0
8339,littlestar,0
8340,aura,1
8349,Marshall,0
8351,damienkc,1
8354,curtisrollo,1
8361,xylo,0
8362,travis,1
8398,Longinus,1
8455,SHWA,1
8458,Fenryl,1
8468,thewin10,1
8474,chieftanmews,1
8487,coolerweb,1
8489,smarthes,0
8495,metsfan001,1
8525,nodnol212,1
8526,vince1027,1
8529,djGobe,0
8539,vdsvzxvzxcv,1
8549,xkirby,1
8564,BigC,0
8567,Toastee,0
8568,Kenzya,1
8569,pressonce,0
8589,SaxeN,1
8592,SirSlarty,0
8598,MetalSlugXT,1
8600,sert,1
8602,Lennawater,0
8603,vampire,0
8610,Peo,1
8615,mickeyd,1
8624,SHAS,0
8632,DeeEcks,0
8659,rudizero,0
8662,crash,0
8668,blahblah17,0
8673,putita,1
8676,txtx,0
8678,ace,1
8685,NeChan,1
8691,darkeggo,1
8694,madmartigan,1
8695,syssmouse,1
8698,Paranoiko,0
8708,outphasen,1
8713,pxlate,0
8722,Wanny,0
8724,rathstar,0
8733,NeoCyst,0
8734,JohnnyBlaze,1
8739,Nakiface,0
8764,s-k,0
8777,djwae,1
8785,aftershock,1
8786,adobo,0
8787,dinnerroll,1
8800,chaos,1
8801,androide93,1
8812,o0RuiCosta0o,1
8813,Neocronic,0
8841,Saya,1
8844,Ranke,1
8870,bunnybeat,0
8885,sumeet,1
8890,laks,1
8892,Nasuko,1
8894,okeeblow,0
8895,BITK,0
8899,clc130,0
8902,Mooya,0
8908,s890118,0
8919,ihatemel,1
8920,nsbrandon,1
8934,Sora1700,1
8940,Gorefest,1
8942,sonic20000,0
8947,gabumon,1
8960,RIVAL,1
8987,ancsik,0
8992,pickboy87,0
8996,mattlocklear,0
9004,Kymos1,1
9006,madman,1
9013,Zanneth,0
9015,Silverclaw,1
9020,km2,0
9024,spandex,0
9025,djccr,0
9027,Moonlight,1
9037,Megathron,1
9041,nicotine,1
9048,MasterBolo,1
9075,WaR,1
9077,tenkyoken,0
9101,TMREV,0
9107,lion,1
9119,eikichi22,0
9122,Zeta,1
9125,EuroG20,1
9128,Furude,0
9129,bolek,1
9132,yutoru,1
9135,Etranrit7,1
9138,miufabiano,1
9151,Tweener,1
9153,miichan,0
9158,blodiaspike,0
9160,j0nphamta,0
9163,dokaebi,0
9165,layzee,1
9166,Leni,1
9169,Nekoroms,1
9176,Jestersage,1
9183,MIDI,1
9186,Utopia08,0
9187,kaioshade,1
9196,JJ,0
9207,treefrog,1
9210,tructdster,1
9211,omgbarf999,1
9215,sossy,1
9228,tsubasaozora,0
9229,ShujinkoV,1
9235,Summonmaster,1
9246,Shairi,1
9255,figget,0
9258,Proof,0
9268,DrKvader,0
9269,aka,0
9271,cowie,0
9281,SeikiBR,1
9282,WrathofGod,1
9293,[+Duracell-],0
9306,Daverabfur,1
9318,Jin,0
9320,chakrila,0
9322,gekkouchou,0
9326,aznkid,1
9328,Bebop129,0
9334,helloproject,0
9340,pol,1
9348,Lissa,1
9352,spoonage49,1
9354,Surge,0
9362,Boxthor,0
9368,DysproS,1
9369,toand,0
9374,PhantomMoogle6,0
9378,tsugaru70,1
9382,axiao,1
9386,Biohazard83,0
9390,PenguinMan,0
9392,Keoro,0
9395,dgcflipman,1
9400,fold,1
9408,ruri,1
9410,OPKnives,1
9422,pantsu,0
9431,Jinx,0
9432,wraith985,0
9437,Trick,0
9438,XDMelchior,1
9440,joaopumper,1
9441,ziggarot,0
9443,Jubo,1
9446,JeffreyATW,0
9448,tmots,0
9451,djtuuts,0
9464,TK,0
9466,pototo,1
9468,patchouli,1
9477,uhh,0
9481,deptstoremoo,1
9484,Xellos,1
9493,aperson,1
9508,Mikeymike360,0
9509,akuma4real,1
9515,fatbird,1
9516,haxored,0
9518,Cai,1
9528,pantspants,0
9538,Krel,0
9547,neoo123,1
9548,Kryz,0
9549,superdante,1
9554,mxfsherman,1
9557,zektbach,1
9562,sirvantes7,1
9564,Ryuji,1
9565,caobaobemani,1
9568,bumm,1
9569,yys3,1
9570,pixelnine,1
9572,NightChaos,1
9573,EvilDave219,0
9576,bm2dxred,1
9578,Kain,0
9579,evan,0
9581,rodneydj2006,1
9583,Raziel90110,1
9584,pocky11,1
9585,putisa,1
9586,freq,1
9594,Sendo,1
9595,sakazesora7,1
9597,sphinx69,1
9598,tyler2dx,1
9599,fezono,1
9600,Hr2,0
9601,Hayden,1
9603,iroha0903,1
9604,Vampywampy,1
9605,JoeD,1
9611,euromoon,1
9615,abe311,1
9616,WarchildX,1
9618,crispygame,1
9619,pandafresh,1
9621,Scythe,1
9631,hiyono,1
9637,lseelba,0
9639,PowerDude,1
9643,hellpanic,1
9648,kenji8,1
9650,IllVes,0
9651,Fortis0624,0
9652,orchid,1
9654,pLemming,1
9659,shucko,1
9660,osu941,0
9661,atsurou,1
9662,teamkill111,1
9664,zomgstrider,1
9665,village,1
9666,kakihara,1
9672,stehzitcha,1
9676,ShrekSteve,1
9677,artemis13,1
9678,Wishkel,0
9679,eurobeat82,1
9685,eldevine,0
9687,abistar,1
9688,boltedge1,0
9689,ddrmelee,1
9691,Jayzet,1
9695,demonslayer,1
9700,jayhime,1
9702,squeaks2,1
9706,Noisepurge,1
9707,numsoloman,1
9711,Darkhorse,0
9713,shirubio,1
9715,Pusion,0
9716,apocalymon,1
9720,Dragon,1
9721,Ophidios,0
9723,Inspire,1
9725,DxJxTxAxKxA,1
9726,ovejo,1
9730,Kles,1
9734,Spike,1
9736,BigBroMario,1
9739,lovesugar,1
9743,NOULOLZ,1
9744,skkitzzo,1
9745,BlueNocturne,1
9747,Fletcher,0
9750,daydreamy,1
9751,Questor96,1
9754,repsol89,1
9755,LordAsriel,1
9757,operationx,1
9758,aostanin,0
9759,Renault,1
9761,JJK,1
9762,souriya,1
9763,Ai,1
9766,oblivion,1
9767,gustavoquara,1
9768,Zackybear,1
9769,Rashu,1
9772,danyboy,1
9773,stoic,1
9774,jindi,1
9777,MafiaBoss,1
9778,popcornx,1
9784,Djukor,1
9785,Macheezmo,1
9788,Help,0
9797,Aryantes,0
9798,aerether,0
9800,zubat,0
9802,TheSofaKing,0
9803,JERFit,1
9805,calamari,0
9810,homonerd,0
9811,lindajimmy,1
9814,urashima1,1
9817,hydrar,1
9819,otaku1313,1
9821,fuse,1
9822,sebvol999,1
9823,panipani,1
9825,gaschamber,0
9827,niltrog,1
9829,BillOB,1
9832,tots,1
9834,Rymel,0
9835,Blargh,1
9837,salsao,1
9842,brrrrrr,0
9846,Fei04,1
9847,DDRLeeKun,1
9848,alco,1
9851,undertaker,1
9854,Soda,1
9856,kinryuu,1
9860,jackiecorn,1
9861,TigerYoshiki,1
9865,billa12,1
9867,Fedule,1
9868,ReinaCop,0
9871,mikeyq926,1
9874,Valcion,0
9876,william123,1
9877,chumba,0
9878,Axelian,1
9879,otter87,0
9880,darksaber,1
9881,LupeS,1
9885,jammitch,0
9889,MagicRub,0
9890,KingPop,1
9893,mgaijin,1
9895,tovus,1
9898,Mrbubbles482,1
9903,faytx1,1
9904,psjdstu,1
9905,attackslug,1
9907,DarloJo,1
9908,Kurono09,1
9915,Ingy,1
9916,debug,0
9919,HoodeR,1
9920,TraumaFox,0
9921,Adamm,1
9924,Gunflame,1
9929,bigfish,0
9931,djfoxx64,1
9936,IHYDdimo,0
9937,Wakaimaru,1
9939,Hans,0
9940,Onimaruu,1
9941,donburns99,1
9943,badboy8800,1
9945,cocacola2,1
9947,pbasskalas,1
9948,concubidated,1
9950,ogisha007,1
9951,villadelfia,0
9952,pppo7708,1
9954,mrvigus2,1
9962,flotastic,1
9963,Meeek,1
9965,f1sh,0
9967,navarra,1
9968,paulius,1
9969,TehOddling,0
9970,guardkitty,0
9976,sharki,1
9978,vanekawaii,1
9988,EuroFad,1
9989,killerroach,0
9993,mimegenocide,1
9994,zandig,1
9995,apolion,1
9996,kalist0,1
9999,DKUN,1
10001,Xepher75,0
10005,boltcrank,1
10006,xzethy,1
10007,iidx3,1
10009,joho,1
10010,dada1234,1
10011,elguapo,1
10013,zxghost,1
10014,HarryUP,1
10016,Quik,1
10017,27777563,1
10019,neogeo,1
10020,kira,1
10021,kuru,0
10022,ruoer,1
10023,Jooon,1
10026,bigboss,1
10027,dwz831117,1
10029,ngage2008,1
10031,Luigi,1
10032,mhd,1
10033,2232715,1
10034,zonic,1
10036,nouva,1
10039,faxx,1
10043,IKARI69,1
10045,celespiu,1
10048,Yamigi,0
10049,Senf,1
10053,Woozle,0
10055,imagoth2001,0
10056,Ayusaint,1
10058,Renegade,1
10062,maverick,1
10063,LOL,1
10065,billatrix,1
10066,pearl,1
10070,157neo,1
10074,cybernet,1
10080,spotikun,1
10081,phil,1
10082,nike,1
10085,cool1981,1
10094,doob10163,1
10101,g10shi,1
10103,piriri,1
10104,Windowslm,1
10107,GARP,1
10110,plumcarrot,1
10113,geez85,1
10114,necro,1
10115,123321,1
10116,tengoku,1
10119,p0l1cy,1
10121,GenoTsukino,1
10122,TRiON,1
10123,secondstage,1
10124,zumito,1
10125,neoxii,1
10126,auyong8,1
10128,Sephiroth,1
10129,asdasd,1
10134,Assault,1
10137,postaservice,1
10138,djk16,1
10139,XxGrayLitExX,1
10141,gen,1
10142,DoctorNick,1
10146,Votum,0
10147,tmo28278,1
10150,BabyGold,1
10154,abiel,1
10158,OJassassin,1
10162,Artowis,0
10165,loyolaboy,1
10169,xonnex,1
10176,beware,1
10183,bsnhwb,1
10184,TriToN,1
10186,lx05,1
10190,joanne170,1
10192,piftpaf,1
10193,DJCrimson,1
10198,Sanga,1
10199,tekni,0
10201,risan,1
10202,LightningXCE,0
10203,ozmodiar5000,1
10205,bimbo,1
10209,jojoer,1
10211,rsms2006,1
10213,zzzzzz,1
10214,Akumura,1
10215,teride12,1
10217,pacmanman,1
10219,winqq,1
10220,zuiko,1
10222,WangTang,1
10224,milox,1
10226,littlekitty,1
10227,Cyric,1
10229,milo,0
10230,Candycane,1
